date	xml_link	pdf_link	file
14-12-1912	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-12-14/toc_unixml/19121214_reps_4_69_v8.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-12-14/toc_pdf/19121214_reps_4_69.pdf;fileType=application%2Fpdf#search=%22hansard80/hansardr80/1912-12-14/0041%22	Id%3A%22hansard80%2Fhansardr80%2F1912-12-14%2F0041%22.html
16-12-1912	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-12-16/toc_unixml/19121216_reps_4_69_v8.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-12-16/toc_pdf/19121216_reps_4_69.pdf;fileType=application%2Fpdf#search=%22hansard80/hansardr80/1912-12-16/0073%22	Id%3A%22hansard80%2Fhansardr80%2F1912-12-16%2F0073%22.html
17-12-1912	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-12-17/toc_unixml/19121217_reps_4_69_v9.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-12-17/toc_pdf/19121217_reps_4_69.pdf;fileType=application%2Fpdf#search=%22hansard80/hansardr80/1912-12-17/0001%22	Id%3A%22hansard80%2Fhansardr80%2F1912-12-17%2F0001%22.html
17-12-1912	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-12-17/toc_unixml/19121217_reps_4_69_v9.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-12-17/toc_pdf/19121217_reps_4_69.pdf;fileType=application%2Fpdf#search=%22hansard80/hansardr80/1912-12-17/0077%22	Id%3A%22hansard80%2Fhansardr80%2F1912-12-17%2F0077%22.html
18-12-1912	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-12-18/toc_unixml/19121218_reps_4_69_v9.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-12-18/toc_pdf/19121218_reps_4_69.pdf;fileType=application%2Fpdf#search=%22hansard80/hansardr80/1912-12-18/0008%22	Id%3A%22hansard80%2Fhansardr80%2F1912-12-18%2F0008%22.html
18-12-1912	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-12-18/toc_unixml/19121218_reps_4_69_v9.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-12-18/toc_pdf/19121218_reps_4_69.pdf;fileType=application%2Fpdf#search=%22hansard80/hansardr80/1912-12-18/0145%22	Id%3A%22hansard80%2Fhansardr80%2F1912-12-18%2F0145%22.html
20-12-1912	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-12-20/toc_unixml/19121220_reps_4_69_v8.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-12-20/toc_pdf/19121220_reps_4_69.pdf;fileType=application%2Fpdf#search=%22hansard80/hansardr80/1912-12-20/0001%22	Id%3A%22hansard80%2Fhansardr80%2F1912-12-20%2F0001%22.html
20-12-1912	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-12-20/toc_unixml/19121220_reps_4_69_v8.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1912-12-20/toc_pdf/19121220_reps_4_69.pdf;fileType=application%2Fpdf#search=%22hansard80/hansardr80/1912-12-20/0143%22	Id%3A%22hansard80%2Fhansardr80%2F1912-12-20%2F0143%22.html
09-07-1913	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1913-07-09/toc_unixml/19130709_reps_5_70_v8.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1913-07-09/toc_pdf/19130709_reps_5_70.pdf;fileType=application%2Fpdf#search=%22hansard80/hansardr80/1913-07-09/0051%22	Id%3A%22hansard80%2Fhansardr80%2F1913-07-09%2F0051%22.html
12-08-1913	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1913-08-12/toc_unixml/19130812_reps_5_70_v6.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1913-08-12/toc_pdf/19130812_reps_5_70.pdf;fileType=application%2Fpdf#search=%22hansard80/hansardr80/1913-08-12/0052%22	Id%3A%22hansard80%2Fhansardr80%2F1913-08-12%2F0052%22.html
13-08-1913	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1913-08-13/toc_unixml/19130813_reps_5_70_v7.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansardr80/1913-08-13/toc_pdf/19130813_reps_5_70.pdf;fileType=application%2Fpdf#search=%22hansard80/hansardr80/1913-08-13/0045%22	Id%3A%22hansard80%2Fhansardr80%2F1913-08-13%2F0045%22.html
